Time,Cluster,Probability
0.51976669373785,2,0.7851001910789498
2.2677334514444567,7,0.62996100087083
2.8330001475520987,11,0.9968413102652018
4.862500253255234,11,0.998397880023093
5.418900282234404,11,0.9931917261704607
6.453233669439271,7,0.9990546254207445
7.436533720652818,0,0.9818621960736433
8.164600425239627,7,0.9554075567051868
8.79346712465977,7,0.9846994303023286
10.707933891038252,7,0.9820020250335469
3.721966860519117,7,0.8670149982632445
4.610566906800372,7,0.936316110068526
280.6474146170536,7,0.9978404116221837
14.577134092559106,7,0.9812872840383601
580.6206635739944,7,0.981791196460433
16.551134195371617,7,0.9810599272362452
16.925534214871618,2,0.7968388029815741
18.486300962828224,7,0.9800078877613568
19.492167681883785,0,0.9722064942194112
20.0027010418074,7,0.9929094788893543
18.251400950593847,2,0.9542901588787012
18.29870095305739,0,0.9979231765840073
23.01513453203832,4,0.5052219437403159
18.476267628972323,2,0.9944719005197522
18.843267648086908,7,0.9855993391085126
18.75746764361816,7,0.9881040519750633
19.1304009963751,7,0.9778409223148048
19.75486769556608,2,0.9098760236579901
20.0271343764133,1,0.5938836698411237
23.19676787483172,1,0.9795126477348816
25.0227679699359,10,0.5195647698829744
25.31870131868243,7,0.606327086169278
25.481501327161595,1,0.9022789354036049
26.292434702731043,7,0.9318841281933767
26.295401369552224,4,0.9225052116849621
36.70066857815992,7,0.9973970775629962
37.00670192743249,2,0.9464905446205881
38.00316864599847,12,0.991376527633107
38.027735313944646,0,0.9983024855968187
40.77110212349501,7,0.8542477284341118
40.97240213397939,7,0.8436453170036226
41.11403547468946,12,0.7716625647566737
39.11750203737,7,0.9246980134998961
40.14740209101063,0,0.98598519842806
44.03990229374503,0,0.6057434272401063
37.2960019425002,4,0.48992244850248445
47.08743578580408,7,0.963488918240347
39.716835401918615,0,0.8220234802812132
40.34130210110959,1,0.8712839011317495
50.10656927638395,7,0.9246925518067689
43.37180225894815,7,0.9997125378335199
44.969902342182536,2,0.9992131000001147
53.05756943008189,7,0.9159606698122776
54.06750281601592,1,0.8702191328649614
55.00566953154544,7,0.8728954203358144
48.84393587728846,0,0.9999399091744521
57.00893630254892,0,0.9997052852753036
49.187335895173874,1,0.9812684819903438
50.41540262580236,2,0.9312645498600056
51.264802670041945,2,0.995725337538041
61.023169844956925,2,0.7304721668360507
54.22743615767911,10,0.5017712882872836
63.08150328549513,4,0.7609887608708693
64.01897000098819,3,0.9991982303656872
65.03440338720868,2,0.9792740278686001
66.01993677187188,10,0.5629350017446663
67.0464701586705,10,0.5036921472767795
68.01853687596564,1,0.8244776729835294
69.0166702612851,2,0.9009220919671196
70.52870367337017,4,0.5231962457482365
64.81950337601597,2,0.9759279028082966
68.93850359054724,7,0.9468921918228228
73.01860380305247,4,0.8748826724727329
74.0433705230924,7,0.5723223210873493
75.1972372498563,1,0.8967017645870747
76.25743730507506,2,0.6942775978940781
77.35467069555597,2,0.9814690607701426
78.11453740179903,3,0.9999979182687678
79.08577078571744,2,0.9096469195764126
80.08653750450738,2,0.7534137062520544
81.0303708869987,3,0.9988282765346542
73.09120380683373,1,0.8403794492865702
74.58580388467749,2,0.7313295683405634
75.32587058988929,2,0.9084547084184653
79.42480413670876,4,0.9288495619303864
79.67037081616536,2,0.9936613554093247
80.71217087042578,9,0.9905615110639039
81.05843755512717,2,0.9853433876402538
81.78633759303864,2,0.5177682429465202
90.00067135420187,10,0.8115162644367998
91.00313807308036,10,0.7999273626526578
83.99443770804385,10,0.9811378952652559
84.18970438488066,10,0.8900277174020857
85.03310442880775,3,0.39055474852623256
86.19910448953692,4,0.6927330322130514
96.12653833992412,5,0.9998810367804145
97.18730506183908,5,0.9999972468925433
98.00127177089983,0,0.9823182877980956
99.0128051569172,7,0.9989731581007751
100.08600521281303,0,0.934926422316573
20.38520106172928,7,0.9990230653149523
20.906101088859486,7,0.9245831791201451
101.05573859665331,2,0.8654544082354876
102.00597197947798,11,0.6083325996153742
103.03867203326443,3,0.9937679396190939
104.00357208351966,1,0.9854414497697259
105.00857213586342,10,0.5889908174628821
107.04397224187385,12,0.4781640900612147
109.02753901185127,3,0.5783220861636955
110.25400574239644,9,0.9999999977983549
111.00300578140684,2,0.594616583826175
112.0481391691742,2,0.6650955360859824
113.46250590950582,7,0.952470626875562
114.01537260496762,7,0.6703766750097958
115.2219726678114,3,0.9946773747002081
116.0330393767211,7,0.9677398689331647
117.79277280170724,4,0.8167415821335551
118.5655061752871,11,0.5508474253490436
117.86800613895896,7,0.9940463383765425
120.0422729188687,12,0.8567606983853014
121.03727297069162,12,0.8096258318908498
113.82617259511346,12,0.8542741132618211
114.11910594370374,12,0.9633795614117272
116.44533939819507,7,0.6870643403391138
116.71767274571243,7,0.5544851644153115
117.05497276328016,10,0.5450783524923752
118.0375061477871,7,0.9337781953244689
128.2899400151014,0,0.9598283610707181
128.5387733613948,7,0.7304485667424977
130.95357348716564,3,0.9830390699393813
26.69490139035952,3,0.9252304302119638
26.848801398375144,7,0.8748996988499943
131.0954068278861,7,0.9068178596626808
132.00584020863786,0,0.999859535155157
133.02030692814134,2,0.9217675983181601
27.08560141070848,9,0.9719386605955092
134.01637364668647,1,0.7789736471588969
135.01407369865004,7,0.9972718446868398
136.02557375133233,2,0.9193083528753525
139.00757390664484,7,0.9847493092900454
140.08680729618823,2,0.5725091561490866
141.0617073469643,2,0.823794540109917
143.00460744815703,7,0.9067335028451112
144.0099075005164,2,0.8959138237403279
145.00397421895738,7,0.8573083775268499
29.843801554364745,2,0.7098717678308814
146.02354093872648,7,0.9987185249419819
147.0060076565633,7,0.9307561124152504
148.04790771082892,2,0.707872790785539
149.01597442791572,11,0.920154888169693
30.19896823952968,2,0.8930119532834258
150.0712744828793,7,0.5136150729532767
151.1947745413949,7,0.9996215684641291
152.0215079177873,2,0.9604814964646257
153.02460797003206,2,0.7941712144959033
154.00447468773348,2,0.9876353150907999
155.0071080732873,4,0.8360295092218983
156.0674747951814,2,0.9764589147508475
157.00284151056508,7,0.9930337520672841
160.01040833387586,7,0.7572236998741405
161.00097505213455,7,0.8762674695994327
162.06537510757204,4,0.9289864647799085
157.2138081882196,7,0.9858451091093029
163.3088418390026,7,0.8737739890718278
161.99574177061197,7,0.9811212292443958
162.92447515231686,7,0.9952924275933969
33.97533510288213,2,0.9955863496646481
167.05937536767624,7,0.9641316234665667
161.87760843112588,2,0.7913038974695161
162.836708481079,3,0.9998715195169926
